title,type,listed_in,rating,duration
A California Christmas,Movie,"Comedies, Romantic Movies",PG-13,107 min
A Champion Heart,Movie,"Children & Family Movies, Dramas",G,90 min
A Chaster Marriage,Movie,"Comedies, International Movies, Romantic Movies",TV-14,94 min
A Choo,Movie,"Action & Adventure, International Movies, Romantic Movies",TV-14,101 min
A Christmas Catch,Movie,"Dramas, Romantic Movies",TV-G,87 min
A Christmas Prince,Movie,"Children & Family Movies, Dramas, Romantic Movies",TV-PG,92 min
A Christmas Prince: The Royal Baby,Movie,"Children & Family Movies, Dramas, Romantic Movies",TV-PG,85 min
A Christmas Prince: The Royal Wedding,Movie,"Children & Family Movies, Dramas, Romantic Movies",TV-PG,93 min
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,Movie,Movies,TV-Y7,22 min
A Cinderella Story,Movie,"Children & Family Movies, Comedies",PG,95 min
A Cinderella Story: Christmas Wish,Movie,"Children & Family Movies, Comedies, Music & Musicals",PG,86 min
A Classic Horror Story,Movie,"Horror Movies, International Movies",TV-MA,95 min
A Clockwork Orange,Movie,"Classic Movies, Cult Movies, Dramas",R,137 min
A Dangerous Woman,Movie,"Dramas, Romantic Movies",R,101 min
A Fairly Odd Summer,Movie,"Children & Family Movies, Comedies",TV-Y7,68 min
A Fall from Grace,Movie,"Dramas, Thrillers",TV-MA,121 min
A Family,Movie,"Dramas, International Movies",TV-MA,135 min
A Family Affair,Movie,"Documentaries, International Movies",TV-PG,111 min
A Family Man,Movie,Dramas,R,110 min
A Family Reunion Christmas,Movie,"Children & Family Movies, Comedies",TV-PG,29 min
A Faraway Land,Movie,"Dramas, International Movies, Romantic Movies",TV-PG,102 min
A Flying Jatt,Movie,"Action & Adventure, International Movies, Sci-Fi & Fantasy",TV-14,142 min
A Fortunate Man,Movie,"Dramas, International Movies",TV-MA,168 min
A Futile and Stupid Gesture,Movie,Comedies,TV-MA,102 min
A Ghost Story,Movie,"Dramas, Independent Movies",R,92 min
A Glimpse Inside the Mind of Charles Swan III,Movie,"Comedies, Independent Movies",R,86 min
A Go! Go! Cory Carson Christmas,Movie,Children & Family Movies,TV-Y,22 min
A Go! Go! Cory Carson Halloween,Movie,Children & Family Movies,TV-Y,22 min
A Go! Go! Cory Carson Summer Camp,Movie,Children & Family Movies,TV-Y,21 min
A Good Wife,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",TV-14,1 Season
A Grand Night In: The Story of Aardman,Movie,Documentaries,TV-PG,59 min
A Gray State,Movie,Documentaries,TV-MA,93 min
A Haunted House,Movie,"Comedies, Horror Movies",R,86 min
A Haunted House 2,Movie,"Comedies, Horror Movies",R,86 min
A Haunting at Silver Falls: The Return,Movie,"Horror Movies, Independent Movies",TV-14,80 min
A Heavy Heart,Movie,"Dramas, Independent Movies, International Movies",TV-MA,109 min
A Holiday Engagement,Movie,"Children & Family Movies, Comedies, Romantic Movies",TV-G,92 min
A Home with A View,Movie,"Comedies, International Movies",TV-MA,92 min
A House of Blocks,TV Show,"International TV Shows, TV Dramas, TV Horror",TV-PG,1 Season
A Kid from Coney Island,Movie,"Documentaries, Sports Movies",TV-MA,89 min
A Kind of Murder,Movie,Thrillers,R,96 min
A Korean Odyssey,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-MA,1 Season
A Land Imagined,Movie,"Dramas, International Movies",TV-MA,95 min
A Leaf of Faith,Movie,Documentaries,TV-MA,87 min
A Life of Speed: The Juan Manuel Fangio Story,Movie,"Documentaries, International Movies, Sports Movies",TV-14,93 min
A Lion in the House,TV Show,TV Shows,TV-14,1 Season
A Little Chaos,Movie,"Dramas, Independent Movies, International Movies",R,113 min
A Little Help with Carol Burnett,TV Show,"Stand-Up Comedy & Talk Shows, TV Comedies",TV-G,1 Season
A Little Thing Called First Love,TV Show,"International TV Shows, Romantic TV Shows, Teen TV Shows",TV-G,1 Season
A Love So Beautiful,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",TV-PG,1 Season
A Love Song for Latasha,Movie,Documentaries,TV-PG,20 min
A Love Story,Movie,"Dramas, International Movies, Romantic Movies",TV-14,117 min
A Man Called God,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,1 Season
A Man For The Week End,Movie,"Comedies, Dramas, International Movies",TV-14,95 min
A Mighty Team,Movie,"Comedies, International Movies, Sports Movies",TV-MA,97 min
A Mission in an Old Movie,Movie,"Comedies, International Movies",TV-MA,98 min
A Monster Calls,Movie,"Dramas, Sci-Fi & Fantasy",PG-13,108 min
A Most Violent Year,Movie,"Dramas, Thrillers",R,125 min
A Murder in the Park,Movie,Documentaries,PG-13,91 min
A new Capitalism,Movie,"Documentaries, International Movies",TV-14,76 min
A New York Christmas Wedding,Movie,"Dramas, LGBTQ Movies, Romantic Movies",TV-MA,90 min
A Night at the Roxbury,Movie,"Comedies, Cult Movies",PG-13,82 min
A Noble Intention,Movie,"Dramas, International Movies",TV-MA,111 min
A Patch of Fog,Movie,"Dramas, Thrillers",TV-MA,92 min
A Perfect Crime,TV Show,"Crime TV Shows, Docuseries, International TV Shows",TV-14,1 Season
A Perfect Day For Arsenide,TV Show,"Classic & Cult TV, Crime TV Shows, International TV Shows",TV-MA,1 Season
A Perfect Ending,Movie,"Dramas, Independent Movies, LGBTQ Movies",TV-MA,110 min
A Perfect Fit,Movie,"Comedies, Dramas, International Movies",TV-PG,113 min
A Perfect Man,Movie,"Dramas, Independent Movies, Romantic Movies",R,94 min
A Place in the Stars,Movie,"Dramas, International Movies, Thrillers",TV-14,110 min
A Plastic Ocean,Movie,Documentaries,TV-14,100 min
A Princess for Christmas,Movie,"Children & Family Movies, Dramas, Romantic Movies",TV-PG,91 min
A Private War,Movie,"Dramas, Independent Movies",R,110 min
A Queen Is Born,TV Show,"International TV Shows, Reality TV",TV-14,1 Season
A Remarkable Tale,Movie,"Comedies, International Movies",TV-MA,94 min
A Russell Peters Christmas,Movie,Stand-Up Comedy,NR,44 min
A Scandall,Movie,"International Movies, Thrillers",TV-MA,108 min
A Second Chance,Movie,"Dramas, International Movies, Romantic Movies",TV-MA,130 min
A Second Chance:  Rivals!,Movie,"Children & Family Movies, Sports Movies",PG,91 min
A Secret Love,Movie,"Documentaries, LGBTQ Movies",TV-14,83 min
A Separation,Movie,"Dramas, International Movies",PG-13,123 min
A Series of Unfortunate Events,TV Show,"Kids' TV, TV Action & Adventure, TV Comedies",TV-PG,3 Seasons
A Serious Man,Movie,"Comedies, Independent Movies",R,106 min
A Shaun the Sheep Movie: Farmageddon,Movie,"Children & Family Movies, Comedies",G,87 min
A Silent Voice,Movie,"Anime Features, International Movies",TV-14,130 min
A Single Man,Movie,"Dramas, Independent Movies, LGBTQ Movies",R,100 min
A Sort of Family,Movie,"Dramas, International Movies, Thrillers",TV-14,96 min
A Sort of Homecoming,Movie,"Dramas, Independent Movies",TV-PG,89 min
A Stoning in Fulham County,Movie,Dramas,TV-14,95 min
A StoryBots Christmas,Movie,"Children & Family Movies, Comedies",TV-Y,26 min
A StoryBots Space Adventure,Movie,Children & Family Movies,TV-Y,13 min
A Sun,Movie,"Dramas, Independent Movies, International Movies",TV-MA,156 min
A Taiwanese Tale of Two Cities,TV Show,"International TV Shows, TV Dramas",TV-MA,1 Season
A Tale of Love and Darkness,Movie,"Dramas, International Movies",PG-13,98 min
A Tale of Two Kitchens,Movie,"Documentaries, International Movies",TV-PG,30 min
A Thin Line Between Love & Hate,Movie,"Comedies, Romantic Movies",R,108 min
A Thousand Goodnights,TV Show,"International TV Shows, TV Dramas",TV-14,1 Season
A Thousand Words,Movie,Comedies,PG-13,92 min
A Touch of Green,TV Show,"International TV Shows, TV Dramas",TV-MA,1 Season
A Trash Truck Christmas,Movie,Children & Family Movies,TV-Y,28 min
A Trip to Jamaica,Movie,"Comedies, International Movies",TV-MA,99 min
A truthful Mother,Movie,Children & Family Movies,TV-Y7,85 min
A Twelve Year Night,Movie,"Dramas, International Movies",TV-MA,122 min
A Very Country Christmas,Movie,"Music & Musicals, Romantic Movies",TV-G,84 min
A Very Murray Christmas,Movie,"Comedies, Music & Musicals",TV-14,57 min
A Very Secret Service,TV Show,"International TV Shows, TV Comedies",TV-MA,2 Seasons
A Very Special Love,Movie,"International Movies, Romantic Movies",TV-G,107 min
A Walk to Remember,Movie,"Dramas, Romantic Movies",PG,102 min
A Way Back Home,Movie,"Dramas, International Movies",TV-14,82 min
A Wednesday,Movie,"Action & Adventure, Dramas, International Movies",TV-MA,103 min
A Week Away,Movie,"Children & Family Movies, Faith & Spirituality, Music & Musicals",TV-PG,98 min
A Week in Watts,Movie,Documentaries,TV-14,91 min
A Whisker Away,Movie,"Anime Features, Children & Family Movies, International Movies",TV-PG,104 min
A Witches' Ball,Movie,Children & Family Movies,PG,91 min
A Wrinkle in Time,Movie,Children & Family Movies,PG,110 min
A Year In Space,TV Show,"Docuseries, International TV Shows, Science & Nature TV",TV-PG,1 Season
A Yellow Bird,Movie,"Dramas, Independent Movies, International Movies",TV-MA,111 min
A Young Doctor's Notebook and Other Stories,TV Show,"British TV Shows, TV Comedies, TV Dramas",TV-MA,2 Seasons
A.D. Kingdom and Empire,TV Show,TV Dramas,TV-14,1 Season
A.I.C.O.,TV Show,"Anime Series, International TV Shows",TV-14,1 Season
A.M.I.,Movie,Horror Movies,TV-MA,77 min
A.X.L.,Movie,"Action & Adventure, Children & Family Movies, Independent Movies",PG,99 min
Aadu 2,Movie,"Comedies, International Movies",TV-MA,150 min
Aagey Se Right,Movie,"Comedies, International Movies, Music & Musicals",TV-14,117 min
Aajcha Divas Majha,Movie,"Comedies, Dramas, International Movies",TV-PG,126 min
Aakhri Adaalat,Movie,"Action & Adventure, International Movies",TV-14,148 min
Aalorukkam,Movie,"Dramas, Independent Movies, International Movies",TV-PG,122 min
Aamir,Movie,"International Movies, Thrillers",TV-14,95 min
Aapla Manus,Movie,"Dramas, International Movies, Thrillers",TV-14,133 min
Aarakshan,Movie,"Dramas, International Movies",TV-14,164 min
Aashayein,Movie,"Dramas, International Movies",TV-14,115 min
Aashik Awara,Movie,"Dramas, International Movies, Music & Musicals",TV-14,154 min
Aata Pita,Movie,"Comedies, Dramas, International Movies",TV-14,133 min
Aaviri,Movie,"Horror Movies, International Movies, Thrillers",TV-14,110 min
Abby Hatcher,TV Show,Kids' TV,TV-Y,1 Season
Abby Sen,Movie,"Comedies, Dramas, International Movies",TV-PG,127 min
ABCD 2,Movie,"Dramas, International Movies, Music & Musicals",TV-14,146 min
ABCD: Any Body Can Dance,Movie,"Dramas, International Movies",TV-14,136 min
Abdo Mota,Movie,"Action & Adventure, Dramas, International Movies",TV-MA,100 min
Abducted in Plain Sight,Movie,Documentaries,TV-14,90 min
"Abdullah, The Final Witness",Movie,"Dramas, International Movies",TV-14,88 min
Abhinetri,Movie,"Comedies, International Movies, Sci-Fi & Fantasy",TV-14,131 min
Abla Fahita: Drama Queen,TV Show,"Crime TV Shows, International TV Shows, TV Comedies",TV-14,1 Season
Abnormal Summit,TV Show,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",TV-PG,2 Seasons
Abominable Christmas,Movie,"Children & Family Movies, Comedies",TV-Y7,44 min
About a Boy,Movie,"Comedies, Dramas, International Movies",PG-13,101 min
About Time,Movie,"Comedies, Dramas, International Movies",R,123 min
Abstract: The Art of Design,TV Show,Docuseries,TV-14,2 Seasons
Absurd Planet,TV Show,"Docuseries, Science & Nature TV, TV Comedies",TV-PG,1 Season
Abyss,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows",TV-14,1 Season
Abzurdah,Movie,"Dramas, International Movies",TV-MA,90 min
Acapulco La vida va,Movie,"Comedies, Dramas, International Movies",TV-MA,89 min
Accepted,Movie,Comedies,PG-13,93 min
Accident,Movie,"International Movies, Thrillers",TV-MA,87 min
Accidentally in Love,TV Show,"International TV Shows, Romantic TV Shows, TV Comedies",TV-14,1 Season
Accomplice,Movie,"Documentaries, International Movies, Sports Movies",TV-14,52 min
Across Grace Alley,Movie,Dramas,TV-PG,24 min
Across The Line,Movie,"Dramas, Sports Movies",TV-MA,88 min
Across the Universe,Movie,"Dramas, Music & Musicals, Romantic Movies",PG-13,133 min
Act of Valor,Movie,Action & Adventure,R,110 min
Act of Vengeance,Movie,"Action & Adventure, International Movies",NR,112 min
Action Replayy,Movie,"Children & Family Movies, Comedies, International Movies",TV-PG,129 min
Acts of Vengeance,Movie,"Action & Adventure, International Movies",R,87 min
Acts of Violence,Movie,Action & Adventure,R,87 min
Ad Vitam,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,1 Season
Adam Devine: Best Time of Our Lives,Movie,Stand-Up Comedy,TV-MA,59 min
Adam Ruins Everything,TV Show,TV Comedies,TV-14,1 Season
ADAM SANDLER 100% FRESH,Movie,Stand-Up Comedy,TV-MA,74 min
Adam: His Song Continues,Movie,Dramas,TV-MA,96 min
Addicted to Life,Movie,"Action & Adventure, Documentaries, International Movies",TV-14,91 min
Adel Karam: Live from Beirut,Movie,Stand-Up Comedy,TV-MA,59 min
Adhugo,Movie,"Comedies, Independent Movies, International Movies",TV-14,105 min
Aditi Mittal: Things They Wouldn't Let Me Say,Movie,Stand-Up Comedy,TV-MA,63 min
Adore,Movie,"Dramas, Independent Movies, International Movies",R,111 min
Adrift,Movie,"Action & Adventure, Dramas, Romantic Movies",PG-13,96 min
Adrishya,Movie,"Horror Movies, Independent Movies, International Movies",TV-14,99 min
Adú,Movie,"Dramas, International Movies",TV-MA,120 min
Advantageous,Movie,"Dramas, Independent Movies, Sci-Fi & Fantasy",TV-MA,92 min
Adventures in Public School,Movie,Comedies,NR,86 min
Aelay,Movie,"Comedies, Dramas, Independent Movies",TV-14,151 min
Æon Flux,Movie,"Action & Adventure, Sci-Fi & Fantasy",PG-13,93 min
Aerials,Movie,"International Movies, Sci-Fi & Fantasy",TV-14,90 min
Afflicted,TV Show,"Docuseries, Reality TV, Science & Nature TV",TV-MA,1 Season
Afonso Padilha: Classless,Movie,Stand-Up Comedy,TV-MA,63 min
Africa,TV Show,"British TV Shows, Docuseries, International TV Shows",TV-PG,1 Season
African America,Movie,"Dramas, Independent Movies, International Movies",TV-MA,97 min
Afronta! Facing It!,TV Show,"Docuseries, International TV Shows",TV-PG,1 Season
After,Movie,"Dramas, Romantic Movies",PG-13,106 min
After Life,TV Show,"British TV Shows, International TV Shows, TV Comedies",TV-MA,2 Seasons
After Maria,Movie,Documentaries,TV-PG,38 min
After Porn Ends,Movie,Documentaries,NR,93 min
After Porn Ends 3,Movie,Documentaries,TV-MA,87 min
After the Raid,Movie,"Documentaries, International Movies",TV-PG,25 min
After We Collided,Movie,"Dramas, Romantic Movies",R,105 min
Afterlife of the Party,Movie,"Comedies, Romantic Movies",TV-PG,110 min
Aftermath,Movie,Horror Movies,TV-MA,115 min
Afterschool,Movie,"Dramas, Independent Movies",TV-MA,107 min
Aftershock,Movie,"Action & Adventure, Horror Movies",R,89 min
Against the Tide,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",TV-14,1 Season
Agatha and the Truth of Murder,Movie,Dramas,TV-MA,92 min
Agatha Christie's Crooked House,Movie,"Dramas, International Movies, Thrillers",PG-13,115 min
Age Gap Love,TV Show,"British TV Shows, Reality TV, Romantic TV Shows",TV-MA,1 Season
Age of Glory,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",TV-MA,2 Seasons
Age of Rebellion,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,1 Season
Age of Samurai: Battle for Japan,TV Show,"Docuseries, International TV Shows",TV-MA,1 Season
Age of Tanks,TV Show,"Docuseries, International TV Shows, Science & Nature TV",TV-PG,1 Season
Agent,TV Show,"International TV Shows, TV Dramas",TV-MA,1 Season
Agent Raghav,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-14,1 Season
Aggretsuko,TV Show,"Anime Series, International TV Shows",TV-14,3 Seasons
Aggretsuko: We Wish You a Metal Christmas,Movie,Movies,TV-PG,22 min
Agneepath,Movie,"Dramas, International Movies",TV-14,174 min
Agustín Aristarán: Soy Rada,Movie,Stand-Up Comedy,TV-MA,60 min
Agyaat,Movie,"Horror Movies, International Movies",TV-14,97 min
Ahaan,Movie,"Dramas, Independent Movies, International Movies",TV-MA,81 min
Ahista Ahista,Movie,"Dramas, International Movies, Romantic Movies",TV-14,122 min
Ai Weiwei: Never Sorry,Movie,Documentaries,R,91 min
Ainori Love Wagon: African Journey,TV Show,"International TV Shows, Reality TV, Romantic TV Shows",TV-14,1 Season
